Iso Code,Continent,Location,Last Updated Date,Total Cases,New Cases,New Cases Smoothed,Total Deaths,New Deaths,New Deaths Smoothed,Total Cases Per Million,New Cases Per Million,New Cases Smoothed Per Million,Total Deaths Per Million,New Deaths Per Million,New Deaths Smoothed Per Million,Reproduction Rate,Icu Patients,Icu Patients Per Million,Hosp Patients,Hosp Patients Per Million,Weekly Icu Admissions,Weekly Icu Admissions Per Million,Weekly Hosp Admissions,Weekly Hosp Admissions Per Million,Total Tests,New Tests,Total Tests Per Thousand,New Tests Per Thousand,New Tests Smoothed,New Tests Smoothed Per Thousand,Positive Rate,Tests Per Case,Tests Units,Total Vaccinations,People Vaccinated,People Fully Vaccinated,Total Boosters,New Vaccinations,New Vaccinations Smoothed,Total Vaccinations Per Hundred,People Vaccinated Per Hundred,People Fully Vaccinated Per Hundred,Total Boosters Per Hundred,New Vaccinations Smoothed Per Million,New People Vaccinated Smoothed,New People Vaccinated Smoothed Per Hundred,Stringency Index,Population Density,Median Age,Aged 65 Older,Aged 70 Older,Gdp Per Capita,Extreme Poverty,Cardiovasc Death Rate,Diabetes Prevalence,Female Smokers,Male Smokers,Handwashing Facilities,Hospital Beds Per Thousand,Life Expectancy,Human Development Index,Population,Excess Mortality Cumulative Absolute,Excess Mortality Cumulative,Excess Mortality,Excess Mortality Cumulative Per Million
EGY,Africa,Egypt,2023-01-17,515645.0,0.0,0.0,24805.0,2.0,0.286,4645.865,0.0,0.0,223.488,0.018,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.827,1.6,71.99,0.707,110990096.0,,,,
SLV,North America,El Salvador,2023-01-17,201785.0,0.0,0.0,4230.0,0.0,0.0,31845.405,0.0,0.0,667.572,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307.811,27.6,8.273,5.417,7292.458,2.2,167.295,8.87,2.5,18.8,90.65,1.3,73.32,0.673,6336393.0,,,,
GNQ,Africa,Equatorial Guinea,2023-01-17,17186.0,0.0,0.0,183.0,0.0,0.0,10260.813,0.0,0.0,109.259,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.194,22.4,2.846,1.752,22604.873,,202.812,7.78,,,24.64,2.1,58.74,0.592,1674916.0,,,,
ERI,Africa,Eritrea,2023-01-17,10189.0,0.0,0.0,103.0,0.0,0.0,2765.713,0.0,0.0,27.958,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.304,19.3,3.607,2.171,1510.459,,311.11,6.05,0.2,11.4,,0.7,66.32,0.459,3684041.0,,,,
EST,Europe,Estonia,2023-01-17,612843.0,0.0,0.0,2885.0,0.0,0.0,462151.902,0.0,0.0,2175.611,0.0,0.0,,,,,,,,,,,,,,,,,,,2104933.0,868764.0,848342.0,593975.0,195.0,258.0,158.74,65.51,63.97,44.79,195.0,13.0,0.001,,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.892,1326064.0,,,,
SWZ,Africa,Eswatini,2023-01-17,74086.0,0.0,4.714,1422.0,0.0,0.0,61652.021,0.0,3.923,1183.343,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.492,21.5,3.163,1.845,7738.975,,333.436,3.94,1.7,16.5,24.097,2.1,60.19,0.611,1201680.0,,,,
ETH,Africa,Ethiopia,2023-01-17,499200.0,55.0,52.571,7572.0,0.0,0.0,4046.039,0.446,0.426,61.371,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.957,19.8,3.526,2.063,1729.927,26.7,182.634,7.47,0.4,8.5,7.96,0.3,66.6,0.485,123379928.0,,,,
FRO,Europe,Faeroe Islands,2023-01-17,34658.0,0.0,0.0,28.0,0.0,0.0,652484.139,0.0,0.0,527.138,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.308,,,,,,,,,,,,80.67,,53117.0,,,,
FLK,South America,Falkland Islands,2023-01-17,1930.0,0.0,0.0,,,,507761.115,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.44,,3801.0,,,,
FJI,Oceania,Fiji,2023-01-17,68793.0,0.0,3.143,883.0,0.0,0.0,73989.346,0.0,3.38,949.698,0.0,0.0,,,,,,,,,,,,,,,,,,,1551928.0,711658.0,640668.0,170563.0,,17.0,166.92,76.54,68.91,18.34,18.0,3.0,0.0,,49.562,28.6,6.224,3.284,8702.975,1.4,412.82,14.49,10.2,34.8,,2.3,67.44,0.743,929769.0,,,,
FIN,Europe,Finland,2023-01-17,1448656.0,2259.0,322.714,8431.0,168.0,24.0,261455.093,407.707,58.244,1521.637,30.321,4.332,,,,,,,,,,,,,,,,,,,13160054.0,4524181.0,4347413.0,4288460.0,,103.0,237.51,81.65,78.46,77.4,19.0,1.0,0.0,,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938,5540745.0,,,,
FRA,Europe,France,2023-01-17,39501432.0,8381.0,5749.0,163631.0,99.0,65.286,582505.301,123.59,84.777,2412.974,1.46,0.963,,1145.0,16.885,19229.0,283.559,401.0,5.913,3114.0,45.92,,,,,,,,,,153867422.0,54640689.0,53145810.0,47162962.0,18298.0,26613.0,226.9,80.58,78.37,69.55,392.0,443.0,0.001,,122.578,42.0,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901,67813000.0,,,,
PYF,Oceania,French Polynesia,2023-01-17,77957.0,0.0,0.0,649.0,0.0,0.0,254518.564,0.0,0.0,2118.893,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66,,306292.0,,,,
GAB,Africa,Gabon,2023-01-17,48980.0,0.0,0.0,306.0,0.0,0.0,20502.328,0.0,0.0,128.087,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.859,23.1,4.45,2.976,16562.413,3.4,259.967,7.2,,,,6.3,66.47,0.703,2388997.0,,,,
GMB,Africa,Gambia,2023-01-17,12586.0,0.0,0.0,372.0,0.0,0.0,4651.154,0.0,0.0,137.473,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.566,17.5,2.339,1.417,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,62.05,0.496,2705995.0,,,,
GEO,Asia,Georgia,2023-01-17,1811015.0,1656.0,236.571,16909.0,10.0,1.429,483661.536,442.262,63.18,4515.828,2.671,0.382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.032,38.7,14.864,10.244,9745.079,4.2,496.218,7.11,5.3,55.5,,2.6,73.77,0.812,3744385.0,,,,
DEU,Europe,Germany,2023-01-17,37637807.0,15450.0,10802.286,164153.0,188.0,129.857,451455.91,185.319,129.571,1968.973,2.255,1.558,,898.0,10.771,,,585.0,7.017,4721.0,56.627,,,,,,,,,,190637222.0,64865230.0,63552544.0,64513557.0,6881.0,12676.0,228.66,77.8,76.23,77.38,152.0,208.0,0.0,,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,83369840.0,,,,
GHA,Africa,Ghana,2023-01-17,171099.0,10.0,4.857,1462.0,0.0,0.143,5111.114,0.299,0.145,43.673,0.0,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.719,21.1,3.385,1.948,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611,33475870.0,,,,
GIB,Europe,Gibraltar,2023-01-17,20379.0,0.0,5.286,111.0,0.0,0.0,623649.662,0.0,161.756,3396.885,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3457.1,,,,,,,,,,,,79.93,,32677.0,,,,
GRC,Europe,Greece,2023-01-17,5548487.0,0.0,0.0,34779.0,0.0,0.0,534280.401,0.0,0.0,3348.974,0.0,0.0,,,,,,,,,,,,,,,,,,,22069110.0,7932953.0,7643476.0,7071249.0,5894.0,3831.0,212.51,76.39,73.6,68.09,369.0,45.0,0.0,,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24,0.888,10384972.0,,,,
GRL,North America,Greenland,2023-01-17,11971.0,0.0,0.0,21.0,0.0,0.0,211898.609,0.0,0.0,371.721,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.137,,,,,,199.941,2.16,,,,,71.7,,56494.0,,,,
GRD,North America,Grenada,2023-01-17,19680.0,0.0,0.0,238.0,0.0,0.0,156863.995,0.0,0.0,1897.034,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317.132,29.4,7.304,5.021,13593.877,,243.964,10.71,,,,3.7,72.4,0.779,125459.0,,,,
GTM,North America,Guatemala,2023-01-17,1219421.0,729.0,897.429,20059.0,3.0,4.571,68338.202,40.854,50.293,1124.137,0.168,0.256,,,,,,,,,,,,,,,,,,,20012686.0,8867838.0,7044084.0,4100764.0,7837.0,5334.0,112.15,49.7,39.48,22.98,299.0,1194.0,0.007,,157.834,22.9,4.694,3.016,7423.808,8.7,155.898,10.18,,,76.665,0.6,74.3,0.663,17843914.0,,,,
GIN,Africa,Guinea,2023-01-17,38224.0,0.0,2.0,467.0,0.0,0.143,2757.994,0.0,0.144,33.696,0.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.755,19.0,3.135,1.733,1998.926,35.3,336.717,2.42,,,17.45,0.3,61.6,0.477,13859349.0,,,,
GNB,Africa,Guinea-Bissau,2023-01-17,8947.0,0.0,0.0,176.0,0.0,0.0,4249.185,0.0,0.0,83.587,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48,2105580.0,,,,
GUY,South America,Guyana,2023-01-17,72720.0,82.0,26.0,1293.0,0.0,0.286,89919.095,101.394,32.149,1598.809,0.0,0.353,,,,,,,,,,,,,,,,,,,953690.0,493404.0,380118.0,80168.0,,0.0,117.92,61.01,47.0,9.91,0.0,0.0,0.0,,3.952,26.3,5.305,2.837,7435.047,,373.159,11.62,,,77.159,1.6,69.91,0.682,808727.0,,,,
HTI,North America,Haiti,2023-01-17,33969.0,0.0,0.0,860.0,0.0,0.0,2932.153,0.0,0.0,74.234,0.0,0.0,,,,,,,,,,,,,,,,,,,512556.0,402110.0,238246.0,,,46.0,4.42,3.47,2.06,,4.0,86.0,0.001,,398.448,24.3,4.8,2.954,1653.173,23.5,430.548,6.65,2.9,23.1,22.863,0.7,64.0,0.51,11585003.0,,,,
HND,North America,Honduras,2023-01-17,469724.0,494.0,239.429,11098.0,3.0,1.429,45023.521,47.35,22.949,1063.755,0.288,0.137,,,,,,,,,,,,,,,,,,,16850623.0,6448366.0,5765185.0,4637447.0,,2943.0,161.51,61.81,55.26,44.45,282.0,241.0,0.002,,82.805,24.9,4.652,2.883,4541.795,16.0,240.208,7.21,2.0,,84.169,0.7,75.27,0.634,10432858.0,,,,
HKG,Asia,Hong Kong,2023-01-17,2840213.0,3843.0,7036.143,12909.0,46.0,61.143,379258.24,513.162,939.548,1723.76,6.142,8.165,,,,,,,,,,,,,,,,,,,20558341.0,6911564.0,6791450.0,6855327.0,7593.0,13708.0,274.52,92.29,90.69,91.54,1830.0,157.0,0.002,,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,,84.86,0.949,7488863.0,,,,
HUN,Europe,Hungary,2023-01-17,2190334.0,1597.0,645.429,48578.0,32.0,11.857,219751.901,160.224,64.755,4873.735,3.21,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88,0.854,9967304.0,,,,
ISL,Europe,Iceland,2023-01-17,208539.0,80.0,11.429,238.0,9.0,1.286,559231.221,214.533,30.648,638.236,24.135,3.448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99,0.949,372903.0,,,,
IND,Asia,India,2023-01-17,44682595.0,128.0,140.714,530728.0,2.0,0.857,31529.384,0.09,0.099,374.498,0.001,0.001,,,,,,,,,,,,,,,,,,,2201741781.0,1027252071.0,951348068.0,223141642.0,59422.0,42691.0,155.36,72.49,67.13,15.75,30.0,2659.0,0.0,,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.645,1417173120.0,,,,
IDN,Asia,Indonesia,2023-01-17,6726668.0,357.0,341.0,160746.0,7.0,7.0,24416.099,1.296,1.238,583.467,0.025,0.025,,,,,,,,,,,,,,,,,,,447461191.0,204045153.0,174799346.0,68616692.0,,285819.0,162.42,74.06,63.45,24.91,1037.0,31340.0,0.011,,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.718,275501344.0,,,,
IRN,Asia,Iran,2023-01-17,7562868.0,113.0,99.857,144728.0,1.0,1.571,85407.335,1.276,1.128,1634.411,0.011,0.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,,1.5,76.68,0.783,88550568.0,,,,
IRQ,Asia,Iraq,2023-01-17,2465545.0,0.0,0.0,25375.0,0.0,0.0,55410.332,0.0,0.0,570.274,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.125,20.0,3.186,1.957,15663.986,2.5,218.612,8.83,,,94.576,1.4,70.6,0.674,44496124.0,,,,
IRL,Europe,Ireland,2023-01-17,1697775.0,3928.0,561.143,8388.0,49.0,7.0,337992.932,781.986,111.712,1669.882,9.755,1.394,,,,,,,,,,,,,,,,,,,11100127.0,4105945.0,4058462.0,3176864.0,142.0,355.0,220.98,81.74,80.8,63.24,71.0,41.0,0.001,,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23.0,25.7,,2.96,82.3,0.955,5023108.0,,,,
IMN,Europe,Isle of Man,2023-01-17,38008.0,0.0,0.0,116.0,0.0,0.0,449617.905,0.0,0.0,1372.229,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.872,,,,,,,,,,,,81.4,,84534.0,,,,
ISR,Asia,Israel,2023-01-17,4777213.0,1223.0,701.0,12126.0,15.0,3.714,505578.686,129.432,74.188,1283.31,1.587,0.393,,39.0,4.127,486.0,51.434,17.0,1.799,300.0,31.749,,,,,,,,,,18625905.0,6721745.0,6158054.0,5746106.0,562.0,971.0,197.12,71.14,65.17,60.81,103.0,14.0,0.0,,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.919,9449000.0,,,,
ITA,Europe,Italy,2023-01-17,25363742.0,84060.0,12008.571,185993.0,576.0,82.286,429621.072,1423.841,203.406,3150.423,9.757,1.394,,310.0,5.251,6731.0,114.012,196.0,3.32,2506.0,42.448,,,,,,,,,,143560245.0,50867016.0,47972774.0,46228785.0,7158.0,12023.0,243.17,86.16,81.26,78.3,204.0,109.0,0.0,,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,59037472.0,,,,
JAM,North America,Jamaica,2023-01-17,153143.0,175.0,45.143,3476.0,11.0,1.571,54164.241,61.895,15.966,1229.406,3.891,0.556,,,,,,,,,,,,,,,,,,,1509702.0,845520.0,745634.0,45664.0,,219.0,53.4,29.9,26.37,1.62,77.0,152.0,0.005,,266.879,31.4,9.684,6.39,8193.571,,206.537,11.28,5.3,28.6,66.425,1.7,74.47,0.734,2827382.0,,,,
JPN,Asia,Japan,2023-01-17,31619952.0,126799.0,135707.286,63328.0,357.0,415.571,255098.986,1022.971,1094.84,510.909,2.88,3.353,,1798.0,14.506,44458.0,358.672,,,,,,,,,,,,,,375728600.0,104598435.0,103206308.0,167923857.0,164945.0,248729.0,303.13,84.39,83.26,135.48,2007.0,2811.0,0.002,,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,84.63,0.919,123951696.0,,,,
JEY,Europe,Jersey,2023-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266569.0,84348.0,81856.0,73642.0,,31.0,240.59,76.13,73.88,66.47,280.0,1.0,0.001,,,,,,,,,,,,,,,,110796.0,,,,
JOR,Asia,Jordan,2023-01-17,1746997.0,0.0,0.0,14122.0,0.0,0.0,154794.998,0.0,0.0,1251.299,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.285,23.2,3.81,2.361,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.729,11285875.0,,,,
KAZ,Asia,Kazakhstan,2023-01-17,1495696.0,7390.0,1055.714,19064.0,1.0,0.429,77105.689,380.967,54.424,982.782,0.052,0.022,,,,,,,,,,,,,,,,,,,,10858101.0,10629063.0,,,,,55.98,54.79,,,210.0,0.001,,6.681,30.6,6.991,4.625,24055.588,0.1,466.792,7.11,7.0,43.1,98.999,6.7,73.6,0.825,19397998.0,,,,
KEN,Africa,Kenya,2023-01-17,342727.0,22.0,15.714,5688.0,0.0,0.0,6343.568,0.407,0.291,105.28,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.324,20.0,2.686,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7,0.601,54027484.0,,,,
KIR,Oceania,Kiribati,2023-01-17,4921.0,0.0,0.0,17.0,0.0,0.0,37497.047,0.0,0.0,129.537,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,
KWT,Asia,Kuwait,2023-01-17,662858.0,111.0,15.857,2570.0,0.0,0.0,155276.576,26.002,3.715,602.031,0.0,0.0,,,,,,,,,,,,,,,,,,,8256563.0,3455425.0,3343911.0,1457227.0,,78.0,193.41,80.94,78.33,34.14,18.0,40.0,0.001,,232.128,33.7,2.345,1.114,65530.537,,132.235,15.84,2.7,37.0,,2.0,75.49,0.806,4268886.0,,,,
KGZ,Asia,Kyrgyzstan,2023-01-17,206588.0,0.0,0.286,2991.0,0.0,0.0,31156.659,0.0,0.043,451.089,0.0,0.0,,,,,,,,,,,,,,,,,,,3387719.0,1641446.0,1364219.0,,1657.0,1349.0,51.09,24.76,20.57,,203.0,331.0,0.005,,32.333,26.3,4.489,2.882,3393.474,1.4,436.362,7.11,3.6,50.5,89.22,4.5,71.45,0.697,6630621.0,,,,
LAO,Asia,Laos,2023-01-17,217934.0,0.0,4.714,758.0,0.0,0.0,28944.109,0.0,0.626,100.671,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4.0,7.3,51.2,49.839,1.5,67.92,0.613,7529477.0,,,,
LVA,Europe,Latvia,2023-01-17,975007.0,55.0,37.571,6200.0,3.0,2.714,526844.564,29.719,20.302,3350.167,1.621,1.467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51.0,,5.57,75.29,0.866,1850654.0,,,,
LBN,Asia,Lebanon,2023-01-17,1225635.0,145.0,199.571,10764.0,2.0,1.143,223259.045,26.413,36.354,1960.747,0.364,0.208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,,2.9,78.93,0.744,5489744.0,,,,
LSO,Africa,Lesotho,2023-01-17,34790.0,0.0,0.0,723.0,0.0,0.0,15087.869,0.0,0.0,313.554,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.562,22.2,4.506,2.647,2851.153,59.6,405.126,3.94,0.4,53.9,2.117,,54.33,0.527,2305826.0,,,,
LBR,Africa,Liberia,2023-01-17,8043.0,0.0,0.0,294.0,0.0,0.0,1516.777,0.0,0.0,55.444,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.127,19.2,3.057,1.756,752.788,38.6,272.509,2.42,1.5,18.1,1.188,0.8,64.1,0.48,5302690.0,,,,
LBY,Africa,Libya,2023-01-17,507158.0,0.0,0.714,6437.0,0.0,0.0,74446.916,0.0,0.105,944.902,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.623,29.0,4.424,2.816,17881.509,,341.862,10.43,,,,3.7,72.91,0.724,6812344.0,,,,
LIE,Europe,Liechtenstein,2023-01-17,21329.0,0.0,1.571,88.0,0.0,0.0,541964.172,0.0,39.93,2236.056,0.0,0.0,,,,,,,,,,,,,,,,,,,74246.0,26763.0,26458.0,22017.0,,5.0,188.66,68.0,67.23,55.94,127.0,0.0,0.0,,237.012,,,,,,,7.77,,,,2.397,82.49,0.919,39355.0,,,,
LTU,Europe,Lithuania,2023-01-17,1293100.0,514.0,233.714,9524.0,3.0,2.857,470208.265,186.905,84.985,3463.2,1.091,1.039,,,,,,,,,,,,,,,,,,,4541924.0,1956581.0,1879993.0,943672.0,243.0,135.0,165.16,71.15,68.36,34.31,49.0,13.0,0.0,,45.135,43.5,19.002,13.778,29524.265,0.7,342.989,3.67,21.3,38.0,,6.56,75.93,0.882,2750058.0,,,,
LUX,Europe,Luxembourg,2023-01-17,314076.0,73.0,51.143,1201.0,1.0,0.429,484983.809,112.724,78.973,1854.537,1.544,0.662,,,,,,,,,,,,,,,,,,,1372599.0,481911.0,,457271.0,58.0,100.0,211.95,74.41,,70.61,154.0,1.0,0.0,,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26.0,,4.51,82.25,0.916,647601.0,,,,
MAC,Asia,Macao,2023-01-17,3439.0,23.0,22.429,113.0,7.0,4.286,4946.92,33.085,32.263,162.548,10.069,6.165,,,,,,,,,,,,,,,,,,,1791888.0,677696.0,639505.0,474687.0,,671.0,257.76,97.48,91.99,68.28,965.0,128.0,0.018,,20546.766,39.2,9.798,4.991,104861.851,,,,,,,,84.24,,695180.0,,,,
MDG,Africa,Madagascar,2023-01-17,67788.0,0.0,4.0,1418.0,0.0,0.0,2289.229,0.0,0.135,47.886,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.528,29611718.0,,,,
MWI,Africa,Malawi,2023-01-17,88446.0,164.0,32.286,2686.0,1.0,0.143,4334.458,8.037,1.582,131.632,0.049,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.519,18.1,2.979,1.783,1095.042,71.4,227.349,3.94,4.4,24.7,8.704,1.3,64.26,0.483,20405318.0,,,,
MYS,Asia,Malaysia,2023-01-17,5033254.0,350.0,311.143,36919.0,5.0,3.857,148306.381,10.313,9.168,1087.83,0.147,0.114,,16.0,0.471,197.0,5.805,,,387.0,11.403,,,,,,,,,,72468097.0,28124309.0,27535751.0,17026192.0,7960.0,8636.0,213.53,82.87,81.13,50.17,254.0,162.0,0.0,,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1.0,42.4,,1.9,76.16,0.81,33938216.0,,,,
MDV,Asia,Maldives,2023-01-17,185708.0,6.0,0.857,311.0,0.0,0.0,354541.254,11.455,1.636,593.74,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1454.433,30.6,4.12,2.875,15183.616,,164.905,9.19,2.1,55.0,95.803,,78.92,0.74,523798.0,,,,
MLI,Africa,Mali,2023-01-17,32772.0,0.0,0.143,743.0,0.0,0.0,1450.499,0.0,0.006,32.885,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.196,16.4,2.519,1.486,2014.306,,268.024,2.42,1.6,23.0,52.232,0.1,59.31,0.434,22593598.0,,,,
MLT,Europe,Malta,2023-01-17,116864.0,26.0,22.857,822.0,0.0,0.0,219136.572,48.754,42.86,1541.367,0.0,0.0,,,,,,,,,,,,,,,,,,,1378529.0,478613.0,471364.0,462933.0,32.0,104.0,258.49,89.75,88.39,86.81,195.0,4.0,0.001,,1454.037,42.4,19.426,11.324,36513.323,0.2,168.711,8.83,20.9,30.2,,4.485,82.53,0.895,533293.0,,,,
MHL,Oceania,Marshall Islands,2023-01-17,15554.0,0.0,0.0,17.0,0.0,0.0,373957.156,0.0,0.0,408.723,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295.15,,,,3819.202,,557.793,30.53,,,82.502,2.7,73.7,0.704,41593.0,,,,
MRT,Africa,Mauritania,2023-01-17,63664.0,229.0,33.571,997.0,0.0,0.0,13442.153,48.352,7.088,210.509,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.289,20.3,3.138,1.792,3597.633,6.0,232.347,2.42,,,15.95,,64.92,0.546,4736146.0,,,,
MUS,Africa,Mauritius,2023-01-17,293386.0,1018.0,293.0,1042.0,0.0,0.0,225772.195,783.391,225.475,801.86,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,,3.4,74.99,0.804,1299478.0,,,,
MEX,North America,Mexico,2023-01-17,7315454.0,563.0,4421.714,331605.0,10.0,38.857,57374.256,4.416,34.679,2600.739,0.078,0.305,,,,,,,,,,,,,,,,,,,225063079.0,99071001.0,82652919.0,57026630.0,,0.0,176.51,77.7,64.82,44.73,0.0,0.0,0.0,,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779,127504120.0,,,,
FSM,Oceania,Micronesia (country),2023-01-17,22247.0,0.0,0.0,58.0,0.0,0.0,194844.891,0.0,0.0,507.979,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.777,23.0,4.81,2.392,3299.464,16.0,454.343,12.02,,,,,67.88,0.62,114178.0,,,,
MDA,Europe,Moldova,2023-01-17,597598.0,382.0,54.571,11947.0,7.0,1.0,182584.564,116.713,16.673,3650.176,2.139,0.306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9,0.75,3272993.0,,,,
MCO,Europe,Monaco,2023-01-17,16035.0,14.0,4.429,65.0,0.0,0.0,439423.419,383.656,121.361,1781.261,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19347.5,,,,,,,5.46,,,,13.8,86.75,,36491.0,,,,
MNG,Asia,Mongolia,2023-01-17,1007837.0,16.0,7.143,2136.0,0.0,0.0,296564.562,4.708,2.102,628.536,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.98,28.6,4.031,2.421,11840.846,0.5,460.043,4.82,5.5,46.5,71.18,7.0,69.87,0.737,3398373.0,,,,
MNE,Europe,Montenegro,2023-01-17,285710.0,76.0,66.143,2794.0,0.0,0.286,455618.245,121.196,105.477,4455.558,0.0,0.456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.28,39.1,14.762,9.395,16409.288,1.0,387.305,10.08,44.0,47.9,,3.861,76.88,0.829,627082.0,,,,
